rank,trace_id,latency_ms,case_suffix,doctor_id,started_at,status_code
1,721e9241-45a8-49c0-9442-5c58d57b463f,22319.246,casual-e2e-012,chatlog_e2e_a524e075_casual-e2e-012,2026-03-06T00:12:12.295112+00:00,200
2,8f1ffdd9-dad1-4ec3-9161-bbf40a465129,21834.25,casual-e2e-062,chatlog_e2e_a524e075_casual-e2e-062,2026-03-06T00:15:14.457635+00:00,200
3,1a39a77b-36bd-4cff-a001-4e2d3933da25,19545.893,casual-e2e-102,chatlog_e2e_a524e075_casual-e2e-102,2026-03-06T00:17:54.603877+00:00,200
4,02d87cd5-54fb-4261-9e69-d30aef80dbee,19159.645,casual-e2e-091,chatlog_e2e_a524e075_casual-e2e-091,2026-03-06T00:17:14.617895+00:00,200
5,d6efe47a-e5dc-4e60-aff0-ab4e1b5d94c2,15668.259,casual-e2e-022,chatlog_e2e_a524e075_casual-e2e-022,2026-03-06T00:12:49.580828+00:00,200
6,746c8ba5-286d-4a3f-865c-2414de5d9cac,14389.071,casual-e2e-096,chatlog_e2e_a524e075_casual-e2e-096,2026-03-06T00:17:26.386922+00:00,200
7,57d6735f-8c99-4071-a169-cf4248c72a1e,14348.807,casual-e2e-098,chatlog_e2e_a524e075_casual-e2e-098,2026-03-06T00:17:25.661869+00:00,200
8,e0806fe6-5963-4383-8c72-5e7ae7ec9e8a,14233.488,casual-e2e-014,chatlog_e2e_a524e075_casual-e2e-014,2026-03-06T00:12:23.053121+00:00,200
9,d84dc6b1-6b96-421f-bebc-6946601f69e0,14111.287,casual-e2e-094,chatlog_e2e_a524e075_casual-e2e-094,2026-03-06T00:17:27.448074+00:00,200
10,5ea57fee-5506-43bf-9cdf-cbf4fc8fe1c9,13997.786,casual-e2e-013,chatlog_e2e_a524e075_casual-e2e-013,2026-03-06T00:12:22.544743+00:00,200
11,c10720d2-f762-4b60-a30e-c008e015a3e9,13402.503,casual-e2e-063,chatlog_e2e_a524e075_casual-e2e-063,2026-03-06T00:15:25.855709+00:00,200
12,567c65a8-d6cc-44b2-95fb-f867f6fe72b9,13261.563,casual-e2e-059,chatlog_e2e_a524e075_casual-e2e-059,2026-03-06T00:15:25.035927+00:00,200
13,b68586c0-1a65-4b0e-8ada-aaa26f16bbed,13183.773,casual-e2e-095,chatlog_e2e_a524e075_casual-e2e-095,2026-03-06T00:17:28.836950+00:00,200
14,d8cdd2c8-03c0-4574-a6c1-85c5aa74c14a,13006.893,casual-e2e-064,chatlog_e2e_a524e075_casual-e2e-064,2026-03-06T00:15:27.481515+00:00,200
15,0e0011db-4545-4b2d-af32-b7a92a406855,12742.122,casual-e2e-060,chatlog_e2e_a524e075_casual-e2e-060,2026-03-06T00:15:26.978141+00:00,200
16,93cba43d-539f-4432-9d03-2b352316eba9,12502.539,casual-e2e-015,chatlog_e2e_a524e075_casual-e2e-015,2026-03-06T00:12:26.652545+00:00,200
17,89896679-e89b-4c8a-834b-b2a62008078c,12378.426,casual-e2e-031,chatlog_e2e_a524e075_casual-e2e-031,2026-03-06T00:13:36.387343+00:00,200
18,7db0fe65-fb00-450f-a1c9-99dae8f1b07b,12293.784,casual-e2e-034,chatlog_e2e_a524e075_casual-e2e-034,2026-03-06T00:13:39.941509+00:00,200
19,c2dfac53-a67a-498e-9468-5c17ee3b9410,12203.802,casual-e2e-009,chatlog_e2e_a524e075_casual-e2e-009,2026-03-06T00:12:28.002663+00:00,200
20,a8ff3708-0665-465e-996d-53ba9dfc22a5,12185.624,casual-e2e-016,chatlog_e2e_a524e075_casual-e2e-016,2026-03-06T00:12:28.790569+00:00,200
21,80c86ab2-dde8-4671-bb1f-eed2bba5f206,12113.549,casual-e2e-030,chatlog_e2e_a524e075_casual-e2e-030,2026-03-06T00:13:35.034171+00:00,200
22,9935f0dd-e22b-4544-a56c-8ca8024caaaf,11960.46,casual-e2e-033,chatlog_e2e_a524e075_casual-e2e-033,2026-03-06T00:13:37.200393+00:00,200
23,5711a31b-c8f1-44d3-a4c8-6fe61fd7c3d7,11941.536,casual-e2e-092,chatlog_e2e_a524e075_casual-e2e-092,2026-03-06T00:17:23.166747+00:00,200
24,a24b9a98-945f-4bfd-809b-6e34f337bb16,11862.609,casual-e2e-097,chatlog_e2e_a524e075_casual-e2e-097,2026-03-06T00:17:30.479264+00:00,200
25,ab51e0ef-c9fc-4909-ba04-74fe4c645228,11821.268,casual-e2e-085,chatlog_e2e_a524e075_casual-e2e-085,2026-03-06T00:16:37.479444+00:00,200
26,fcaf95f1-7893-4ba2-a2f8-98a23d1c823d,11740.378,casual-e2e-080,chatlog_e2e_a524e075_casual-e2e-080,2026-03-06T00:16:36.331275+00:00,200
27,5d043fde-adda-456b-82a4-83bd8630153e,11667.883,casual-e2e-035,chatlog_e2e_a524e075_casual-e2e-035,2026-03-06T00:13:39.557882+00:00,200
28,4f4012a3-f491-4ae7-8ef1-b463e8158d00,11622.648,casual-e2e-010,chatlog_e2e_a524e075_casual-e2e-010,2026-03-06T00:12:29.849490+00:00,200
29,3e31720a-145f-4303-898d-a5d7e0cb1963,11432.237,casual-e2e-065,chatlog_e2e_a524e075_casual-e2e-065,2026-03-06T00:15:30.999784+00:00,200
30,a4216e10-0b08-4c31-bb5a-2faba67b2f77,11416.634,casual-e2e-011,chatlog_e2e_a524e075_casual-e2e-011,2026-03-06T00:12:30.784646+00:00,200
31,84be33cf-712b-463e-acad-637637632647,11415.603,casual-e2e-086,chatlog_e2e_a524e075_casual-e2e-086,2026-03-06T00:16:38.554269+00:00,200
32,9c30f0fb-9673-4f27-8ed4-596b64dde4fd,11408.547,casual-e2e-032,chatlog_e2e_a524e075_casual-e2e-032,2026-03-06T00:13:38.365710+00:00,200
33,508b3170-8bba-4db7-9a21-ef4fd2fade80,11377.738,casual-e2e-066,chatlog_e2e_a524e075_casual-e2e-066,2026-03-06T00:15:32.493406+00:00,200
34,7f8386e0-3a56-401a-8e94-ebb701623757,11367.936,casual-e2e-084,chatlog_e2e_a524e075_casual-e2e-084,2026-03-06T00:16:41.616822+00:00,200
35,1a7288a2-ab99-48c8-92e1-9e9553763c41,11355.181,casual-e2e-081,chatlog_e2e_a524e075_casual-e2e-081,2026-03-06T00:16:40.204331+00:00,200
36,7c991a12-471f-4a41-be56-b62724962a10,11344.609,casual-e2e-093,chatlog_e2e_a524e075_casual-e2e-093,2026-03-06T00:17:24.230014+00:00,200
37,f1c0801c-615b-4518-9f6c-b9d225a995ea,11265.238,casual-e2e-016,chatlog_e2e_a524e075_casual-e2e-016,2026-03-06T00:12:17.517528+00:00,200
38,95858747-1385-494a-9047-c9a9d586b674,11179.521,casual-e2e-009,chatlog_e2e_a524e075_casual-e2e-009,2026-03-06T00:12:16.815619+00:00,200
39,ad70069a-a338-47de-9201-fcd5c66e80d6,11175.759,casual-e2e-010,chatlog_e2e_a524e075_casual-e2e-010,2026-03-06T00:12:18.664091+00:00,200
40,f913e1ae-bf58-4f0b-bee5-07a03e0918b1,11081.314,casual-e2e-061,chatlog_e2e_a524e075_casual-e2e-061,2026-03-06T00:15:31.989143+00:00,200
41,c7310752-56a8-4948-bd89-9d4c65c3f457,11052.337,casual-e2e-103,chatlog_e2e_a524e075_casual-e2e-103,2026-03-06T00:18:04.636228+00:00,200
42,1fa959f9-d41b-4f8c-a5eb-2894711e653f,10943.862,casual-e2e-015,chatlog_e2e_a524e075_casual-e2e-015,2026-03-06T00:12:15.700535+00:00,200
43,477e9a72-63b2-44be-b210-2d6fb899977d,10932.184,casual-e2e-083,chatlog_e2e_a524e075_casual-e2e-083,2026-03-06T00:16:41.117662+00:00,200
44,72b897fb-135f-4b9c-bee5-ef5d9c7bdf46,10919.997,casual-e2e-082,chatlog_e2e_a524e075_casual-e2e-082,2026-03-06T00:16:35.235787+00:00,200
45,becd6b43-8c0b-4071-be81-d2ff1bfdb960,10844.193,casual-e2e-019,chatlog_e2e_a524e075_casual-e2e-019,2026-03-06T00:12:59.550280+00:00,200
46,ed82834c-b1fb-4de8-a2df-da6e49226aca,10821.542,casual-e2e-078,chatlog_e2e_a524e075_casual-e2e-078,2026-03-06T00:16:34.287020+00:00,200
47,5ef0ee47-77f6-4b6b-b452-be0ea9aedfee,10770.828,casual-e2e-065,chatlog_e2e_a524e075_casual-e2e-065,2026-03-06T00:15:20.221545+00:00,200
48,b6924b5f-abeb-44f3-85c4-4a81eb998156,10770.027,casual-e2e-020,chatlog_e2e_a524e075_casual-e2e-020,2026-03-06T00:13:00.644113+00:00,200
49,678f5321-9794-482d-8ea0-3bc3bf0dc512,10601.392,casual-e2e-018,chatlog_e2e_a524e075_casual-e2e-018,2026-03-06T00:12:58.733338+00:00,200
50,65f17f1f-7af9-4d3f-829c-ef71824f6a86,10586.767,casual-e2e-104,chatlog_e2e_a524e075_casual-e2e-104,2026-03-06T00:18:06.082025+00:00,200
51,893b5602-7d8c-4e7a-b549-66993930f4e7,10586.486,casual-e2e-021,chatlog_e2e_a524e075_casual-e2e-021,2026-03-06T00:13:01.426775+00:00,200
52,6378aaec-3328-44d1-8985-93e2dbd360b1,10529.233,casual-e2e-028,chatlog_e2e_a524e075_casual-e2e-028,2026-03-06T00:13:32.914530+00:00,200
53,80698610-603b-4085-a3e3-cdd9dae17612,10432.513,casual-e2e-024,chatlog_e2e_a524e075_casual-e2e-024,2026-03-06T00:12:58.194254+00:00,200
54,539aadf8-9fdb-4fc6-83f0-7e7be4a226e6,10414.642,casual-e2e-auto-0003,chatlog_e2e_a524e075_casual-e2e-auto-0003,2026-03-06T00:18:07.691333+00:00,200
55,6eab3d47-10ed-4d08-991f-ce8bde68cc71,10395.395,casual-e2e-auto-0001,chatlog_e2e_a524e075_casual-e2e-auto-0001,2026-03-06T00:18:08.776482+00:00,200
56,77d7c1f8-4450-4791-8f91-b650ab9729a5,10355.363,casual-e2e-029,chatlog_e2e_a524e075_casual-e2e-029,2026-03-06T00:13:33.938587+00:00,200
57,dc67f1d1-6153-4f70-8602-72fb0f28bbae,10316.536,casual-e2e-037,chatlog_e2e_a524e075_casual-e2e-037,2026-03-06T00:13:44.302490+00:00,200
58,74de0418-e091-42ca-aa6b-11d7f424edce,10285.526,casual-e2e-091,chatlog_e2e_a524e075_casual-e2e-091,2026-03-06T00:17:33.786910+00:00,200
59,2c02f16d-3024-45a9-abd9-0cbf0c09f77e,10183.353,casual-e2e-011,chatlog_e2e_a524e075_casual-e2e-011,2026-03-06T00:12:20.593130+00:00,200
60,ee00ab50-feff-4804-a760-8c8eb5e10e1a,10176.927,casual-e2e-auto-0002,chatlog_e2e_a524e075_casual-e2e-auto-0002,2026-03-06T00:18:07.236523+00:00,200
61,c8c8b5ae-df7e-41a5-8942-d807b86b24c9,10175.853,casual-e2e-auto-0005,chatlog_e2e_a524e075_casual-e2e-auto-0005,2026-03-06T00:18:10.452788+00:00,200
62,41aacc6f-3f27-4c4b-86c3-161a779ad482,10016.707,casual-e2e-058,chatlog_e2e_a524e075_casual-e2e-058,2026-03-06T00:15:22.466234+00:00,200
63,60890ff6-0824-4350-b5ff-8df0e6b0ac22,9989.336,casual-e2e-auto-0004,chatlog_e2e_a524e075_casual-e2e-auto-0004,2026-03-06T00:18:09.899488+00:00,200
64,b2043f38-7ba6-4634-90a5-9d773cb788ff,9952.596,casual-e2e-061,chatlog_e2e_a524e075_casual-e2e-061,2026-03-06T00:15:22.030491+00:00,200
65,3419ba5c-2c5b-4446-85fa-4698932a3359,9886.197,casual-e2e-006,chatlog_e2e_a524e075_casual-e2e-006,2026-03-06T00:11:53.298120+00:00,200
66,b3fd9aa2-e627-4b81-8cb0-b7ad27449c69,9832.327,casual-e2e-025,chatlog_e2e_a524e075_casual-e2e-025,2026-03-06T00:12:57.707286+00:00,200
67,46884bef-1e2e-4416-8e6a-e935e67b5322,9781.321,casual-e2e-005,chatlog_e2e_a524e075_casual-e2e-005,2026-03-06T00:11:52.587711+00:00,200
68,eebb8faf-e0a8-4022-aa5a-ddc0a5eeb00b,9730.999,casual-e2e-044,chatlog_e2e_a524e075_casual-e2e-044,2026-03-06T00:14:21.534464+00:00,200
69,65b3ad20-236f-40bf-9c59-009a4f8105e6,9728.848,casual-e2e-101,chatlog_e2e_a524e075_casual-e2e-101,2026-03-06T00:17:53.606176+00:00,200
70,0d44ca82-f114-4733-bdcf-03d288d89f63,9696.806,casual-e2e-013,chatlog_e2e_a524e075_casual-e2e-013,2026-03-06T00:12:12.840806+00:00,200
71,c259cf10-d4fe-41ed-86b1-09efbd4dd8f4,9644.206,casual-e2e-061,chatlog_e2e_a524e075_casual-e2e-061,2026-03-06T00:15:12.374525+00:00,200
72,5be7776b-eb38-480b-8594-1b95489a21bc,9613.251,casual-e2e-035,chatlog_e2e_a524e075_casual-e2e-035,2026-03-06T00:13:51.234516+00:00,200
73,7776f088-1300-4c7d-8de4-e4a1d5081092,9565.038,casual-e2e-087,chatlog_e2e_a524e075_casual-e2e-087,2026-03-06T00:16:45.116453+00:00,200
74,f50b2839-f3f7-40f2-b4bf-c1a36f3147ee,9510.276,casual-e2e-036,chatlog_e2e_a524e075_casual-e2e-036,2026-03-06T00:13:43.452342+00:00,200
75,0b7556b4-af19-464e-8c58-8cafa1806a30,9422.929,casual-e2e-099,chatlog_e2e_a524e075_casual-e2e-099,2026-03-06T00:17:57.804836+00:00,200
76,e04275a8-69a2-4db4-a15b-c925fc351c55,9418.591,casual-e2e-105,chatlog_e2e_a524e075_casual-e2e-105,2026-03-06T00:17:52.675180+00:00,200
77,74b2538b-6c72-4ea3-a6eb-46599b1d0a9a,9409.967,casual-e2e-059,chatlog_e2e_a524e075_casual-e2e-059,2026-03-06T00:15:15.617386+00:00,200
78,91ca416f-5c49-4dfb-96fc-19e021999b48,9407.148,casual-e2e-093,chatlog_e2e_a524e075_casual-e2e-093,2026-03-06T00:17:35.585838+00:00,200
79,7a462b50-2b41-49fc-8b42-45b28d5d2e8b,9383.082,casual-e2e-023,chatlog_e2e_a524e075_casual-e2e-023,2026-03-06T00:12:57.191251+00:00,200
80,c087624c-c15f-4ded-ba78-9f2bff24ca89,9312.408,casual-e2e-092,chatlog_e2e_a524e075_casual-e2e-092,2026-03-06T00:17:35.138601+00:00,200
81,d2f5fcc9-3801-43a8-baa0-da9c24917691,9287.621,casual-e2e-032,chatlog_e2e_a524e075_casual-e2e-032,2026-03-06T00:13:49.783814+00:00,200
82,b71ca1af-dca2-43e5-83b9-581810c49552,9274.059,casual-e2e-036,chatlog_e2e_a524e075_casual-e2e-036,2026-03-06T00:13:52.970784+00:00,200
83,d0c39b19-dc01-4385-98fb-7febd5c8b6ff,9271.385,casual-e2e-004,chatlog_e2e_a524e075_casual-e2e-004,2026-03-06T00:11:49.056667+00:00,200
84,82edbbd9-e431-483e-a460-9e3787b47355,9251.463,casual-e2e-033,chatlog_e2e_a524e075_casual-e2e-033,2026-03-06T00:13:49.172769+00:00,200
85,7e5de5d9-3bca-4502-909a-720430918e7d,9237.451,casual-e2e-045,chatlog_e2e_a524e075_casual-e2e-045,2026-03-06T00:14:23.597249+00:00,200
86,8d837aad-d6ce-421a-bc6b-1587e2e727cc,9222.351,casual-e2e-002,chatlog_e2e_a524e075_casual-e2e-002,2026-03-06T00:11:51.434779+00:00,200
87,6ad00603-ae9e-48db-9f1a-6d04d0bcdf15,9213.795,casual-e2e-034,chatlog_e2e_a524e075_casual-e2e-034,2026-03-06T00:13:52.242699+00:00,200
88,a159bfc7-f95f-4788-8fdf-f2a1248dfdc6,9207.588,casual-e2e-097,chatlog_e2e_a524e075_casual-e2e-097,2026-03-06T00:17:21.262306+00:00,200
89,f467c9a7-4356-4081-84dc-61eba1b4f9c0,9203.439,casual-e2e-048,chatlog_e2e_a524e075_casual-e2e-048,2026-03-06T00:14:20.991877+00:00,200
90,c15bce05-6cdd-400e-a1c1-c54b4c622f89,9171.913,casual-e2e-079,chatlog_e2e_a524e075_casual-e2e-079,2026-03-06T00:16:15.351599+00:00,200
91,664aecc5-223c-40cd-b7a1-7a15763c72cd,9163.105,casual-e2e-082,chatlog_e2e_a524e075_casual-e2e-082,2026-03-06T00:16:46.163581+00:00,200
92,696f13d6-6946-49fe-950d-45ea8144fc20,9156.666,casual-e2e-098,chatlog_e2e_a524e075_casual-e2e-098,2026-03-06T00:17:51.967502+00:00,200
93,37e1ca65-e616-43b3-bbb0-d5a266e4e07f,9133.734,casual-e2e-001,chatlog_e2e_a524e075_casual-e2e-001,2026-03-06T00:11:47.795217+00:00,200
94,42e6260f-b076-4fed-a88e-61cf9538fab0,9129.523,casual-e2e-048,chatlog_e2e_a524e075_casual-e2e-048,2026-03-06T00:14:41.388570+00:00,200
95,62ac66b3-c45a-4cb1-bc68-77f3f0e3865c,9107.145,casual-e2e-049,chatlog_e2e_a524e075_casual-e2e-049,2026-03-06T00:14:40.995386+00:00,200
96,ee68c093-06be-4a7c-b71b-663ced35212e,9094.591,casual-e2e-047,chatlog_e2e_a524e075_casual-e2e-047,2026-03-06T00:14:17.872139+00:00,200
97,b766da83-6eea-4042-bfcd-69a94fef9ad6,9071.04,casual-e2e-104,chatlog_e2e_a524e075_casual-e2e-104,2026-03-06T00:17:57.001200+00:00,200
98,92513cd1-8e2b-4535-a69f-816e0dd4ff84,9053.741,casual-e2e-042,chatlog_e2e_a524e075_casual-e2e-042,2026-03-06T00:14:22.603366+00:00,200
99,ee7a1f38-4ab9-405a-ae59-d580b49237d1,9047.707,casual-e2e-058,chatlog_e2e_a524e075_casual-e2e-058,2026-03-06T00:14:59.085544+00:00,200
100,c7faa00f-5c24-4fae-864f-781ca4cdddc7,9012.426,casual-e2e-003,chatlog_e2e_a524e075_casual-e2e-003,2026-03-06T00:11:57.287649+00:00,200
